time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-02T19:26:34.847Z,23.4096,120.2986,22.636,4.2,mwr,20,86,0.323,0.71,us,us7000m9eu,2024-06-12T21:51:51.040Z,"17 km WSW of Pizitou, Taiwan",earthquake,2.5,6.486,0.068,21,reviewed,us,us
2024-04-02T23:58:12.173Z,23.8356,121.5976,40,7.4,mww,322,17,0.337,0.93,us,us7000m9g4,2026-06-25T10:54:32.203Z,"15 km S of Hualien City, Taiwan",earthquake,4.73,1.877,0.027,133,reviewed,us,us
2024-04-03T00:09:31.012Z,24.1741,121.7374,32.25,5,mb,24,66,0.593,0.72,us,us7000mbhd,2024-06-12T21:51:58.040Z,"25 km NNE of Hualien City, Taiwan",earthquake,3.16,5.587,0.189,9,reviewed,us,us
2024-04-03T00:11:25.266Z,24.1021,121.6812,13.931,6.4,mww,183,50,0.63,0.77,us,us7000m9gc,2024-06-12T21:51:51.040Z,"15 km NNE of Hualien City, Taiwan",earthquake,3.79,3.485,0.062,25,reviewed,us,us
2024-04-03T00:15:33.177Z,24.1761,121.8081,33.347,4.8,mb,21,131,0.63,0.67,us,us7000mbhm,2024-06-12T21:51:58.040Z,"30 km NE of Hualien City, Taiwan",earthquake,2.5,6.344,0.227,6,reviewed,us,us
2024-04-03T00:16:25.441Z,23.8113,121.4056,36.322,4.8,mb,24,129,0.414,0.97,us,us7000mbhl,2024-06-12T21:51:58.040Z,"27 km SW of Hualien City, Taiwan",earthquake,3.34,7.085,0.185,9,reviewed,us,us
2024-04-03T00:17:16.083Z,24.0059,121.8453,35,5.1,mb,25,69,0.787,0.85,us,us7000mbhx,2024-06-12T21:51:59.040Z,"24 km E of Hualien City, Taiwan",earthquake,2.65,1.944,0.172,11,reviewed,us,us
2024-04-03T00:17:37.240Z,24.0049,121.7509,38.611,5.2,mb,58,67,0.738,0.8,us,us7000mbfm,2024-06-12T21:51:57.040Z,"15 km ENE of Hualien City, Taiwan",earthquake,4,7.242,0.099,34,reviewed,us,us
2024-04-03T00:21:01.518Z,24.1526,121.7366,35,4.7,mb,30,79,0.611,1.13,us,us7000mbep,2024-06-12T21:51:57.040Z,"23 km NE of Hualien City, Taiwan",earthquake,2.98,1.934,0.184,9,reviewed,us,us
2024-04-03T00:25:18.309Z,24.0642,121.4552,18.631,4.3,mb,27,109,0.535,0.74,us,us7000mber,2024-06-12T21:51:57.040Z,"17 km WNW of Hualien City, Taiwan",earthquake,3.12,0.918,0.239,5,reviewed,us,us
2024-04-03T00:27:01.869Z,23.8097,121.6207,25.364,4.8,mb,37,80,0.51,1.02,us,us7000mben,2024-06-12T21:51:57.040Z,"18 km S of Hualien City, Taiwan",earthquake,3.47,5.577,0.16,12,reviewed,us,us
2024-04-03T00:30:58.257Z,23.9647,121.7918,28.742,4.9,mb,43,78,0.728,0.96,us,us7000mbfq,2024-06-12T21:51:58.040Z,"19 km E of Hualien City, Taiwan",earthquake,4.45,5.699,0.162,12,reviewed,us,us
2024-04-03T00:31:12.301Z,23.9926,121.7893,23.2,5,mb,35,90,0.749,0.91,us,us7000mbfg,2024-06-12T21:51:57.040Z,"18 km E of Hualien City, Taiwan",earthquake,4.45,6.024,0.137,17,reviewed,us,us
2024-04-03T00:35:36.982Z,24.1511,121.6993,15.864,5.6,mb,115,49,0.594,0.69,us,us7000m9gh,2024-06-12T21:51:51.040Z,"21 km NNE of Hualien City, Taiwan",earthquake,3.29,3.182,0.062,93,reviewed,us,us
2024-04-03T00:39:42.975Z,24.2493,121.6542,30.42,4.5,mb,18,68,0.489,0.85,us,us7000mbhj,2024-06-12T21:51:58.040Z,"30 km N of Hualien City, Taiwan",earthquake,2.96,4.531,0.204,7,reviewed,us,us
2024-04-03T00:41:05.404Z,23.9965,121.5924,37.038,4.5,mb,19,93,0.62,0.9,us,us7000mbhi,2024-06-12T21:51:58.040Z,"2 km NNW of Hualien City, Taiwan",earthquake,2.94,9.713,0.221,6,reviewed,us,us
2024-04-03T00:42:44.700Z,23.8191,121.852,36.437,4.2,mb,20,88,0.663,0.55,us,us7000mbfh,2024-06-12T21:51:57.040Z,"30 km SE of Hualien City, Taiwan",earthquake,3.73,9.149,0.199,7,reviewed,us,us
2024-04-03T00:43:55.100Z,23.9995,121.5898,10.789,5.3,mb,109,52,0.619,0.7,us,us7000m9gm,2024-06-12T21:51:51.040Z,"2 km NNW of Hualien City, Taiwan",earthquake,3.77,4.569,0.063,84,reviewed,us,us
2024-04-03T00:46:44.732Z,24.1702,121.7273,14.297,5.6,mww,135,27,0.591,0.72,us,us7000m9gp,2024-06-12T21:51:52.040Z,"24 km NNE of Hualien City, Taiwan",earthquake,4.4,3.437,0.11,8,reviewed,us,us
2024-04-03T00:50:03.795Z,23.791,121.6614,34.298,4.3,mb,25,101,0.519,0.85,us,us7000mbi1,2024-06-12T21:51:59.040Z,"21 km SSE of Hualien City, Taiwan",earthquake,3.42,3.478,0.161,11,reviewed,us,us
2024-04-03T00:50:46.898Z,23.7725,121.5952,27.179,5.2,mb,92,71,0.467,0.8,us,us7000m9gx,2024-06-12T21:51:52.040Z,"22 km S of Hualien City, Taiwan",earthquake,8.19,4.131,0.071,67,reviewed,us,us
2024-04-03T00:54:09.210Z,23.8024,121.6157,35.37,4.5,mb,27,87,0.502,0.72,us,us7000mbeq,2024-06-12T21:51:57.040Z,"19 km S of Hualien City, Taiwan",earthquake,1.34,8.691,0.156,12,reviewed,us,us
2024-04-03T01:01:12.630Z,24.077,121.5601,20.884,5,mb,35,77,0.625,0.73,us,us7000mbeu,2024-06-12T21:51:57.040Z,"11 km NNW of Hualien City, Taiwan",earthquake,3.37,5.238,0.163,12,reviewed,us,us
2024-04-03T01:06:10.799Z,23.9305,121.6879,35,4.5,mb,25,86,0.644,0.65,us,us7000mbes,2024-06-12T21:51:57.040Z,"9 km ESE of Hualien City, Taiwan",earthquake,3.11,1.926,0.192,8,reviewed,us,us
2024-04-03T01:07:16.493Z,24.0671,121.7272,28.876,4.6,mb,58,78,0.68,0.67,us,us7000mbfs,2024-06-12T21:51:58.040Z,"15 km NE of Hualien City, Taiwan",earthquake,2.88,2.468,0.109,25,reviewed,us,us
2024-04-03T01:09:28.121Z,24.0918,121.8568,35,4.5,mb,39,96,6.41,0.32,us,us7000mbfr,2024-06-12T21:51:58.040Z,"28 km ENE of Hualien City, Taiwan",earthquake,9.1,1.897,0.121,20,reviewed,us,us
2024-04-03T01:09:37.061Z,24.174,121.766,10,5.2,mb,197,63,0.608,0.63,us,us7000m9h5,2024-06-12T21:51:52.040Z,"27 km NE of Hualien City, Taiwan",earthquake,3.07,1.769,0.048,143,reviewed,us,us
2024-04-03T01:13:10.456Z,24.0162,121.7192,35,4.6,mb,49,76,0.722,0.55,us,us7000mbev,2024-06-12T21:51:57.040Z,"12 km ENE of Hualien City, Taiwan",earthquake,3.16,1.897,0.107,26,reviewed,us,us
2024-04-03T01:13:44.357Z,24.0776,121.7275,35,4.2,mb,21,93,0.671,0.55,us,us7000mbi2,2024-06-12T21:51:59.040Z,"16 km NE of Hualien City, Taiwan",earthquake,2.57,1.943,0.176,9,reviewed,us,us
2024-04-03T01:15:29.465Z,23.6173,121.6986,35,4.2,mb,27,87,0.431,0.66,us,us7000mbet,2024-06-12T21:51:57.040Z,"40 km SSE of Hualien City, Taiwan",earthquake,4.12,1.917,0.167,10,reviewed,us,us
2024-04-03T01:17:41.291Z,23.9694,121.6633,26.865,5,mb,75,77,0.665,0.77,us,us7000m9h7,2024-06-12T21:51:52.040Z,"6 km E of Hualien City, Taiwan",earthquake,3.29,4.055,0.044,165,reviewed,us,us
2024-04-03T01:19:31.837Z,23.873,121.6499,6.723,5.1,mb,79,73,0.577,0.71,us,us7000mbey,2024-06-12T21:51:57.040Z,"12 km SSE of Hualien City, Taiwan",earthquake,3.35,4.426,0.075,57,reviewed,us,us
